Name,window
Adiac,3
ArrowHead,0
Beef,0
BeetleFly,7
BirdChicken,6
Car,1
CBF,11
ChlorineConcentration,0
CinCECGTorso,1
Coffee,0
Computers,12
CricketX,10
CricketY,17
CricketZ,5
DiatomSizeReduction,0
DistalPhalanxOutlineAgeGroup,0
DistalPhalanxOutlineCorrect,1
DistalPhalanxTW,0
Earthquakes,6
ECG200,0
ECG5000,1
ECGFiveDays,0
ElectricDevices,14
FaceAll,3
FaceFour,2
FacesUCR,12
FiftyWords,6
Fish,4
FordA,1
FordB,1
GunPoint,0
Ham,0
HandOutlines,0
Haptics,2
Herring,5
InlineSkate,14
InsectWingbeatSound,1
ItalyPowerDemand,0
LargeKitchenAppliances,94
Lightning2,6
Lightning7,5
Mallat,0
Meat,0
MedicalImages,20
MiddlePhalanxOutlineAgeGroup,0
MiddlePhalanxOutlineCorrect,0
MiddlePhalanxTW,3
MoteStrain,1
NonInvasiveFetalECGThorax1,1
NonInvasiveFetalECGThorax2,1
OliveOil,0
OSULeaf,7
PhalangesOutlinesCorrect,0
Phoneme,14
Plane,5
ProximalPhalanxOutlineAgeGroup,0
ProximalPhalanxOutlineCorrect,1
ProximalPhalanxTW,2
RefrigerationDevices,8
ScreenType,17
ShapeletSim,3
ShapesAll,4
SmallKitchenAppliances,15
SonyAIBORobotSurface1,0
SonyAIBORobotSurface2,0
StarLightCurves,16
Strawberry,0
SwedishLeaf,2
Symbols,8
SyntheticControl,6
ToeSegmentation1,8
ToeSegmentation2,5
Trace,3
TwoLeadECG,4
TwoPatterns,4
UWaveGestureLibraryAll,4
UWaveGestureLibraryX,4
UWaveGestureLibraryY,4
UWaveGestureLibraryZ,6
Wafer,1
Wine,0
WordSynonyms,9
Worms,9
WormsTwoClass,7
Yoga,7
ACSF1,4
AllGestureWiimoteX,14
AllGestureWiimoteY,9
AllGestureWiimoteZ,11
BME,4
EthanolLevel,1
FreezerRegularTrain,1
FreezerSmallTrain,0
GunPointAgeSpan,3
GunPointMaleVersusFemale,0
GunPointOldVersusYoung,4
InsectEPGRegularTrain,11
InsectEPGSmallTrain,1
PickupGestureWiimoteZ,17
PigAirwayPressure,1
PigArtPressure,1
PigCVP,11
PLAID,3
PowerCons,3
ShakeGestureWiimoteZ,6
SmoothSubspace,1
UMD,6
Fungi,0
GesturePebbleZ1,2
GesturePebbleZ2,6
HouseTwenty,33
DodgerLoopDay,1
DodgerLoopWeekend,1
DodgerLoopGame,1
SemgHandGenderCh2,1
SemgHandMovementCh2,1
SemgHandSubjectCh2,3
MixedShapesRegularTrain,4
MixedShapesSmallTrain,7
EOGHorizontalSignal,1
EOGVerticalSignal,2
GestureMidAirD1,5
GestureMidAirD2,6
GestureMidAirD3,1
Rock,0
Crop,0
Chinatown,0
MelbournePedestrian,0
